aaQuestionName, link, status, reviewed, addressed

Chef and Price Controlsolved,            PRICECON

Chef and Stringsolved,                   XYSTR

Chef and Icecreamsolved,                 CHFICRM

The Tom and Jerry Game!solved,           EOEO

Even Matrixsolved,                       EVENM

Covid Sampling (Challenge),              COVDSMPL

Operations on a Tuple,                   TTUPLE

The Delicious Cake,                      CONTAIN

Guessing GameAdd problem to Todo list,   GUESSG

            
